code_uic,libelle,fret,voyageurs,code_ligne,rg_troncon,pk,commune,departemen,idreseau,idgaia,x_l93,y_l93,x_wgs84,y_wgs84,c_geo.lon,c_geo.lat,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
87574137,Meung-sur-Loire,N,O,570000,2,140+686,MEUNG-SUR-LOIRE,LOIRET,5491,299809be-dfbc-11e3-a2ff-01a464e0362d,602128.751000002,6748544.582800001,1.691830031501516,47.82999942870646,1.691830031501516,47.82999942870646,1.6918300315015151,47.829999428695075,Feature,"[1.691830031501515, 47.829999428695075]",Point
87755389,Pignans,N,O,930000,1,104+678,PIGNANS,VAR,6002,d989fcb2-6667-11e3-89ff-01f464e0362d,961767.4949000031,6249711.355900001,6.224888239870714,43.298453499674146,6.2248882398707135,43.298453499674146,6.224888239870715,43.29845349965018,Feature,"[6.224888239870715, 43.29845349965018]",Point
87571828,Langeais,N,O,515000,1,260+233,LANGEAIS,INDRE-ET-LOIRE,4856,c08b050e-f312-11e3-90ff-015864e0362d,504461.63710000366,6694726.228599999,0.410677308449883,47.3240049022944,0.41067730844988326,47.3240049022944,0.4106773084498817,47.32400490228152,Feature,"[0.410677308449882, 47.32400490228152]",Point
87213108,Schweighouse-sur-Moder,O,O,159000,1,003+767,SCHWEIGHOUSE-SUR-MODER,BAS-RHIN,6797,e142ed40-19bf-11e5-a6ff-01fc64e0362d,1047960.1618999988,6869200.4738,7.742619127039892,48.82878820093896,7.742619127039892,48.82878820093896,7.742619127039895,48.82878820091677,Feature,"[7.742619127039895, 48.82878820091677]",Point
87473512,Moustéru,N,O,485000,1,515+819,BOURBRIAC,COTES-D'ARMOR,5700,e1b68e2e-19bf-11e5-a6ff-01fc64e0362d,239358.01829999685,6841279.857700001,-3.242782593047977,48.50779865852206,-3.2427825930479774,48.50779865852206,-3.242782593047982,48.50779865849822,Feature,"[-3.242782593047982, 48.50779865849822]",Point
87194209,Montmédy,N,O,204000,2,207+225,MONTMEDY,MEUSE,5634,29b487a0-dfbc-11e3-a2ff-01a464e0362d,871768.0252000019,6938554.8737,5.371700640274836,49.523093923192405,5.371700640274836,49.523093923192405,5.371700640274838,49.52309392317364,Feature,"[5.371700640274838, 49.52309392317364]",Point
87213744,Wingen-sur-Moder,N,O,161000,1,029+980,WINGEN-SUR-MODER,BAS-RHIN,7359,e17a9762-19bf-11e5-a6ff-01fc64e0362d,1020933.5389999971,6877806.1173,7.381540309334985,48.92008500247013,7.3815403093349845,48.92008500247013,7.381540309334989,48.9200850024484,Feature,"[7.381540309334989, 48.9200850024484]",Point
87611194,Marignac-St-Béat,N,O,668000,1,124+103,MARIGNAC,HAUTE-GARONNE,5367,e01deecc-19bf-11e5-82ff-01fc64e0362d,508118.15380000323,6204636.9256,0.651983192271137,42.91546574727395,0.6519831922711365,42.91546574727395,0.651983192271135,42.91546574724907,Feature,"[0.651983192271135, 42.91546574724907]",Point
87286500,Phalempin,N,O,272000,1,235+509,PHALEMPIN,NORD,5989,e14bbf42-19bf-11e5-a6ff-01fc64e0362d,701419.5709000006,7046375.780000001,3.019983615088751,50.51468233950347,3.019983615088751,50.51468233950347,3.019983615088751,50.514682339489276,Feature,"[3.019983615088751, 50.514682339489276]",Point
87611087,Martres-Tolosane,N,O,650000,1,061+552,MARTRES-TOLOSANE,HAUTE-GARONNE,5406,e14e761c-19bf-11e5-a6ff-01fc64e0362d,538611.0226999968,6234995.9397,1.015612714830371,43.195931482311494,1.0156127148303706,43.195931482311494,1.01561271483037,43.19593148228727,Feature,"[1.01561271483037, 43.19593148228727]",Point
87682278,Moret-Veneux-les-Sablons,N,O,830000,1,066+780,MORET-LOING-ET-ORVANNE,SEINE-ET-MARNE,5673,d9c9f6ac-6667-11e3-89ff-01f464e0362d,685037.8478000015,6808760.058800001,2.797934704242235,48.378969270107795,2.7979347042422353,48.378969270107795,2.7979347042422353,48.378969270083275,Feature,"[2.797934704242235, 48.378969270083275]",Point
87592378,La Souterraine,O,O,590000,2,342+063,LA SOUTERRAINE,CREUSE,4766,d99a5d90-6667-11e3-89ff-01f464e0362d,583710.3742000014,6572430.822799999,1.490691444529265,46.241740737278604,1.490691444529265,46.241740737278604,1.4906914445292638,46.241740737262575,Feature,"[1.490691444529264, 46.241740737262575]",Point
87746883,Le Buet,N,O,896000,1,032+340,VALLORCINE,HAUTE-SAVOIE,4913,e1a6c5b6-19bf-11e5-a6ff-01fc64e0362d,1003192.4799999967,6554131.3792,6.920548372764412,46.01917242108535,6.920548372764412,46.01917242108535,6.920548372764416,46.019172421068646,Feature,"[6.920548372764416, 46.019172421068646]",Point
87575399,Trogues,O,N,571000,1,037+925,TROGUES,INDRE-ET-LOIRE,9050,d9db7f26-6667-11e3-89ff-01f464e0362d,510033.51630000025,6670997.140799999,0.494377239830601,47.112108470617606,0.4943772398306006,47.112108470617606,0.49437723983059906,47.11210847060411,Feature,"[0.494377239830599, 47.11210847060411]",Point
87756858,Fontan-Saorge,N,O,946000,1,070+825,FONTAN,ALPES-MARITIMES,4190,29abd6a2-dfbc-11e3-a2ff-01a464e0362d,1064879.2026000023,6332564.3605,7.551578000989646,43.99740866361559,7.551578000989646,43.99740866361559,7.551578000989649,43.99740866359334,Feature,"[7.551578000989649, 43.99740866359334]",Point
87756874,La Brigue,N,O,946000,1,054+484,LA BRIGUE,ALPES-MARITIMES,4605,29754304-dfbc-11e3-a2ff-01a464e0362d,1068578.0540999994,6340026.160700001,7.603034286339613,44.06252385171183,7.603034286339613,44.06252385171183,7.603034286339617,44.06252385168974,Feature,"[7.603034286339617, 44.06252385168974]",Point
87317172,Attin-Garage,O,N,308000,1,125+083,ATTIN,PAS-DE-CALAIS,8021,29671e68-dfbc-11e3-a2ff-01a464e0362d,611494.5667999983,7043332.962000001,1.754868026531428,50.48110783335011,1.7548680265314283,50.48110783335011,1.7548680265314271,50.48110783333578,Feature,"[1.754868026531427, 50.48110783333578]",Point
87586412,Laroque,N,O,631000,1,637+490,LAROQUE-TIMBAUT,LOT-ET-GARONNE,4878,d9cda93c-6667-11e3-89ff-01f464e0362d,520449.8947999999,6356833.982500002,0.749741149561576,44.287500065429036,0.7497411495615756,44.287500065429036,0.7497411495615739,44.287500065407514,Feature,"[0.749741149561574, 44.287500065407514]",Point
87182733,Muhlbach-sur-Munster,N,O,119000,1,022+447,MUHLBACH-SUR-MUNSTER,HAUT-RHIN,5711,28fc5948-dfbc-11e3-a2ff-01a464e0362d,1004577.2787000015,6777230.0537,7.087636083352972,48.02448731356157,7.087636083352972,48.02448731356157,7.087636083352975,48.024487313550736,Feature,"[7.087636083352975, 48.024487313550736]",Point
87276493,Montsoult-Maffliers,N,O,325000,1,024+386,MONTSOULT,VAL-D'OISE,5664,e148c974-19bf-11e5-a6ff-01fc64e0362d,650488.8818999976,6885341.9628,2.322488540042579,49.06602499907762,2.3224885400425794,49.06602499907762,2.3224885400425794,49.06602499905661,Feature,"[2.322488540042579, 49.06602499905661]",Point
87741561,Brens-Virignin,O,N,904000,1,100+404,BRENS,AIN,3372,29c7b2de-dfbc-11e3-a2ff-01a464e0362d,909578.1096000001,6518200.3332,5.695334386379873,45.731196348519326,5.695334386379873,45.731196348519326,5.6953343863798755,45.73119634850181,Feature,"[5.695334386379876, 45.73119634850181]",Point
87313841,Fouilloy,N,O,321000,1,044+054,FOUILLOY,OISE,4211,29c77d06-dfbc-11e3-a2ff-01a464e0362d,615280.8853999972,6960344.621300001,1.82549203212016,49.73641873820521,1.82549203212016,49.73641873820521,1.825492032120159,49.73641873818747,Feature,"[1.825492032120159, 49.73641873818747]",Point
